lt_dp_posx,lt_dp_posy,lt_dp_velx,lt_dp_vely,ball_posx,ball_posy,ball_posz,ball_vel_x,ball_vel_y,ball_rot_x,ball_rot_y,ball_rot_z,rt_gk_posx,rt_gk_posy,rt_gk_velx,rt_gk_vely,action_left,action_top_left,action_top,action_top_right,action_right,action_bottom_right,action_bottom,action_bottom_left,action_sprint,action_dribble,sel_action
0.604979038238525,0.020222326740623,0.014042854309082,-0.000817239575554,1.00837278366089,-0.00318559166044,0.109926111996174,0.014793948270381,-0.000997494906187,-1.39346666401252E-05,-8.75094920047559E-05,0,0.643573999404907,0.019951177760959,0.013408941216767,-0.000841737375595,0,0,0,0,1,0,0,0,1,0,18
0.596966862678528,0.02394937351346,0.011707711964846,-0.00043832368101,1.00657510757446,0.007938261143863,0.109968230128288,0.011936956085265,-0.000479971582536,-6.70507870381698E-06,-7.06101491232403E-05,0,0.670047700405121,0.018681099638343,0.013784801587463,-0.000426130427513,1,0,0,0,0,0,0,0,1,1,18
0.591114521026611,0.018385287374258,0.013925034552813,-0.000950773071963,1.01060378551483,-0.010281625203788,0.109900169074535,0.015997339040041,-0.001396761392243,-1.95122247532709E-05,-9.46275613387115E-05,-2.91951358921683E-12,0.617245554924011,0.016487989574671,0.013300575315952,-0.000872261472978,0,0,0,0,1,0,0,0,0,0,1
0.590981185436249,0.021036617457867,0.013937669806182,-0.000810366473161,0.993141412734985,-0.00215861084871,0.109906211495399,0.015782311558724,-0.001064135809429,-1.48655835801037E-05,-9.3355673016049E-05,2.91926942688758E-12,0.630266547203064,0.020784268155694,0.013171223923564,-0.000821759807877,0,0,0,0,1,0,0,0,1,0,18
0.585567474365234,0.024359751492739,0.010974878445268,-0.000409628148191,0.994308769702911,0.008431480266154,0.109959557652473,0.012679039500654,-0.000509809935465,-7.12190967533388E-06,-7.49997489037923E-05,-1.45805654876152E-12,0.656319379806519,0.019102480262518,0.013652970083058,-0.000415278977016,1,0,0,0,0,0,0,0,1,1,1
0.583736777305603,0.020354028791189,0.013862701132894,-0.000979647855274,1.00345778465271,-0.009909105487168,0.109870754182339,0.017185766249895,-0.001485883025453,-2.07571720238775E-05,-0.000101657104096,8.7627743602936E-12,0.627909362316132,0.019019266590476,0.013117229565978,-0.000984859769233,0,0,0,0,0,0,1,0,1,0,3
0.577250421047211,0.019331375136972,0.01380149461329,-0.000942935410421,0.994115948677063,-0.008842024952173,0.1098727658391,0.017107874155045,-0.001493724295869,-2.08667152037378E-05,-0.000101196375908,-2.92082916013292E-12,0.604002833366394,0.017352452501655,0.013028186745942,-0.000836923543829,1,0,0,0,0,0,0,0,0,0,5
0.577103972434998,0.021843098104,0.013796021230519,-0.000801268965006,0.976878881454468,-0.001062103663571,0.109880588948727,0.016868639737368,-0.001137383049354,-1.58887851284817E-05,-9.97813185676932E-05,2.92053837711026E-12,0.617228806018829,0.021595800295472,0.012859175913036,-0.000796991109382,0,0,1,0,0,0,0,0,1,0,5
0.574881911277771,0.024743499234319,0.010529525578022,-0.000379747274565,0.981274783611298,0.008955566212535,0.109948679804802,0.013479434885085,-0.000541992834769,-7.57148973207222E-06,-7.97342217992991E-05,1.45843038167059E-12,0.642741501331329,0.019512446597219,0.013476960361004,-0.000402103207307,1,0,0,0,0,0,0,0,0,1,13
0.573957979679108,0.02069490775466,0.013658709824085,-0.000815141713247,0.998869895935059,-0.004443029407412,0.109803944826126,0.019334852695465,-0.001655403175391,-2.31251779041486E-05,-0.000114368776849,0,0.603161215782166,0.017873745411635,0.01302838511765,-0.000669460685458,0,0,1,0,0,0,0,0,0,0,11
